hotelcode,name,postcode,address,latitude,longitude
S010001,稚内サンホテル,097-0022,北海道稚内市中央３―７―１６,45.41581624,141.6765809
S010002,ＡＮＡクラウンプラザホテル稚内,097-0023,北海道稚内市開運１－２－２,45.41926036,141.6787333
S010003,ホテル御園,097-0005,北海道稚内市大黒２－７－１５,45.39759893,141.6867309
S010004,ホテルおかべ汐彩亭,097-0022,北海道稚内市中央１丁目５番１６号,45.42072404,141.675878
S010006,ホテルめぐま,098-6642,北海道稚内市声問２丁目１３番１４号,45.40710733,141.7492558
S010007,天然温泉 天北の湯 ドーミーイン稚内,097-0022,北海道稚内市中央２－７－１３,45.41833262,141.675117
S010012,ホテル豊富,098-4132,北海道天塩郡豊富町字上サロベツ１５１０－２,45.07136984,141.8404415
S010015,北国グランドホテル,097-0101,北海道利尻郡利尻富士町鴛泊字栄町９３,45.24683464,141.2179184
S010016,利尻マリンホテル,097-0101,北海道利尻郡利尻富士町鴛泊字港町８１－５,45.24448788,141.2298342
S010017,ホテル利尻,097-0401,北海道利尻郡利尻町沓形字富士見町９０,45.18507867,141.1339033
S010018,利尻富士観光ホテル,097-0101,北海道利尻郡利尻富士町鴛泊字港町１９４－２,45.24183532,141.2264152
S010019,アイランドインリシリ,097-0401,北海道利尻郡利尻町沓形字富士見町３０,45.18632017,141.1321895
S010020,ホテルあや瀬,097-0101,北海道利尻郡利尻富士町鴛泊字栄町１２２番地,45.24530985,141.2207933
S010438,ホテル雲丹御殿,097-0101,北海道利尻郡利尻富士町鴛泊野塚,45.23519511,141.2690258
S010694,田中家 ひなげし館,097-0101,北海道利尻郡利尻富士町鴛泊字本町１１５,45.24262126,141.2213767
S010022,ホテル礼文,097-1201,北海道礼文郡礼文町大字香深村字ワウシ９５８－２５,45.29942878,141.0454887
S010023,花れぶん,097-1201,北海道礼文郡礼文町大字香深村字トンナイ５５８,45.30061478,141.046533
S010024,三井観光ホテル,097-1201,北海道礼文郡礼文町大字香深村字トンナイ２７７,45.30444775,141.0489687
S010656,布目旅館,078-3871,北海道苫前郡羽幌町大字焼尻東浜１８７,,
