nearest_station_name,nearest_station_latitude,nearest_station_longitude,distance,hotelcode,hotelname
稚内,45.416995,141.676999,135.0330098224429,S010001,稚内サンホテル
稚内,45.416995,141.676999,286.0350869229625,S010002,ＡＮＡクラウンプラザホテル稚内
南稚内,45.398166,141.683026,296.8580155714802,S010003,ホテル御園
稚内,45.416995,141.676999,423.6312508119931,S010004,ホテルおかべ汐彩亭
南稚内,45.398166,141.683026,5279.670357471428,S010006,ホテルめぐま
稚内,45.416995,141.676999,209.28509721143715,S010007,天然温泉 天北の湯 ドーミーイン稚内
幌延,45.014503,141.84569,6333.275061025005,S010012,ホテル豊富
,,,,S010015,北国グランドホテル
,,,,S010016,利尻マリンホテル
,,,,S010017,ホテル利尻
,,,,S010018,利尻富士観光ホテル
,,,,S010019,アイランドインリシリ
,,,,S010020,ホテルあや瀬
,,,,S010438,ホテル雲丹御殿
,,,,S010694,田中家 ひなげし館
,,,,S010022,ホテル礼文
,,,,S010023,花れぶん
,,,,S010024,三井観光ホテル
,,,,S010656,布目旅館
旭川,43.763492,142.357803,747.9971104923685,S010025,ホテルクレッセント旭川
旭川,43.763492,142.357803,1007.5003305488837,S010026,アートホテル旭川
旭川,43.763492,142.357803,161.69391894537816,S010028,藤田観光ワシントンホテル旭川
旭川,43.763492,142.357803,274.4986035980713,S010029,コートホテル旭川
旭川,43.763492,142.357803,329.2033308565779,S010030,ホテルルートイン旭川駅前一条通
旭川,43.763492,142.357803,1013.4914166514588,S010032,旭川トーヨーホテル
旭川,43.763492,142.357803,848.1116058016495,S010315,天然温泉 神威の湯 ドーミーイン旭川
旭川,43.763492,142.357803,334.83981363022264,S010322,スマイルホテル旭川
旭川,43.763492,142.357803,74.76244161784605,S010604,ＪＲイン旭川
近文,43.789193,142.325327,2738.535294833496,S010645,和風旅館 扇松園
旭川,43.763492,142.357803,380.28330386777645,S010649,ホテルＷＢＦグランデ旭川
旭川,43.763492,142.357803,1526.812777162652,S010674,旅館 不二苑
永山,43.814158,142.434382,368.888189240535,S010685,ホテルトレンド旭川
旭川,43.763492,142.357803,239.0676734885146,S010721,天然温泉 プレミアホテル－ＣＡＢＩＮ－旭川（旧ホテルパコ旭川）
旭川,43.763492,142.357803,188.14012152007567,S010735,ホテルルートインＧｒａｎｄ旭川駅前
旭川,43.763492,142.357803,428.8928304225992,S010841,Ｒホテルズイン北海道旭川
,,,,S010034,天人閣
,,,,S010036,旭岳温泉ホテルベアモンテ
,,,,S010037,旭岳温泉ホテルディアバレー
,,,,S010038,ラビスタ大雪山
,,,,S010039,ホテル大雪
,,,,S010040,マウントビューホテル
,,,,S010041,層雲峡 朝陽亭
,,,,S010042,層雲峡温泉 朝陽リゾートホテル
,,,,S010043,層雲閣グランドホテル
,,,,S010044,層雲峡観光ホテル
東六線,44.068723,142.388073,4184.351409771788,S010827,レークサイド桜岡
富良野,43.347114,142.391374,4042.1106157342574,S010045,新富良野プリンスホテル
富良野,43.347114,142.391374,2760.1448182335785,S010046,富良野プリンスホテル
富良野,43.347114,142.391374,2529.9468021715825,S010047,ホテルナトゥールヴァルト富良野
富良野,43.347114,142.391374,2428.39249037041,S010048,ホテルベルヒルズ
富良野,43.347114,142.391374,2474.7923990811983,S010049,ニュー富良野ホテル
富良野,43.347114,142.391374,2151.721926216382,S010050,ホテルエーデルヴェルメ
東鹿越,43.164011,142.523472,2602.512744786949,S010436,かなやま湖 ログホテルラーチ
幾寅,43.161582,142.569474,113.23623989302422,S010462,旅籠や なんぷてい
島ノ下,43.3744,142.350406,1207.5048832693772,S010608,ハイランドふらの
上富良野,43.464046,142.468761,1056.123185857624,S010052,富良野ホップスホテル
西中,43.429569,142.441876,1536.2397446208963,S010053,富良野リゾート オリカ
西中,43.429569,142.441876,574.3368154604151,S010644,スパアンドホテルリゾート ふらのラテール
,,,,S010054,ホテルパークヒルズ
,,,,S010055,湯元白金温泉ホテル
,,,,S010056,大雪山白金観光ホテル
トマム,43.055913,142.610937,1851.48931534589,S010057,星野リゾート トマム ザ・タワー
トマム,43.055913,142.610937,1163.4851869634062,S010830,クラブメッド 北海道 トマム
夕張,43.050926,141.967472,43.2422258863243,S010060,ホテルマウントレースイ
夕張,43.050926,141.967472,1214.0550038822464,S010061,ゆうばりホテルシューパロ
栗山,43.058164,141.775603,409.4845206373837,S010715,くりやま旅館
由仁,43.012206,141.785868,1763.0904716204827,S010786,ユンニの湯
網走,44.019873,144.254156,847.9639364089678,S010065,網走セントラルホテル
網走,44.019873,144.254156,96.33589327666188,S010066,ホテルルートイン網走駅前
桂台,44.016913,144.273223,544.8870228828154,S010609,ホテルオホーツク・イン
網走,44.019873,144.254156,807.4285582416582,S010789,天然温泉 天都の湯 ドーミーイン網走
呼人,43.963695,144.218945,834.178559013582,S010067,北天の丘あばしり湖鶴雅リゾート
呼人,43.963695,144.218945,2147.969409455042,S010068,ホテル網走湖荘
呼人,43.963695,144.218945,3235.86463139611,S010069,天都の宿 網走観光ホテル
北見,43.805504,143.898167,449.8338878312732,S010071,ホテルルートイン北見大通西
北見,43.805504,143.898167,399.9330013335504,S010316,天然温泉 常呂川の湯 ドーミーイン北見
北見,43.805504,143.898167,868.9484291452959,S010663,北見東和ホテル
北見,43.805504,143.898167,478.7764915378838,S010693,北見ピアソンホテル
北見,43.805504,143.898167,1324.6022245853676,S010755,北見プラザホテル
北見,43.805504,143.898167,742.0475315430655,S010782,きたぐちホテル
北見,43.805504,143.898167,167.8976970200165,S010825,ホテルルートインＧｒａｎｄ北見駅前
金華,43.803484,143.57114,6998.896436172547,S010073,大江本家
