station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort
1110101,1110101,函館,,,11101,1,040-0063,北海道函館市若松町１２-１３,140.726413,41.773709,1902-12-10,0000-00-00,0,1110101
1110102,1110102,五稜郭,,,11101,1,041-0813,函館市亀田本町,140.733539,41.803557,0000-00-00,0000-00-00,0,1110102
1110103,1110103,桔梗,,,11101,1,041-0801,北海道函館市桔梗３丁目４１-３６,140.722952,41.846457,1902-12-10,0000-00-00,0,1110103
1110104,1110104,大中山,,,11101,1,041-1121,亀田郡七飯町大字大中山,140.71358,41.864641,0000-00-00,0000-00-00,0,1110104
1110105,1110105,七飯,,,11101,1,041-1111,亀田郡七飯町字本町,140.688556,41.886971,0000-00-00,0000-00-00,0,1110105
1110106,1110106,新函館北斗,,,11101,1,041-1242,北海道北斗市市渡,140.646525,41.9054,1902-12-10,0000-00-00,0,1110106
1110107,1110107,仁山,,,11101,1,041-1101,亀田郡七飯町字仁山,140.635183,41.930011,0000-00-00,0000-00-00,0,1110107
1110108,1110108,大沼,,,11101,1,041-1354,北海道亀田郡七飯町字大沼町４,140.669347,41.971954,1903-06-28,0000-00-00,0,1110108
1110109,1110109,大沼公園,,,11101,1,041-1354,北海道亀田郡七飯町字大沼町８５,140.669758,41.980958,1907-06-05,0000-00-00,0,1110109
1110110,1110110,赤井川,,,11101,1,049-2142,茅部郡森町字赤井川,140.642678,42.003267,0000-00-00,0000-00-00,0,1110110
1110111,1110111,駒ケ岳,,,11101,1,049-2300,北海道茅部郡森町字駒ヶ岳,140.610476,42.038809,0000-00-00,0000-00-00,0,1110111
1110112,1110112,東山,,,11101,1,049-2141,茅部郡森町字駒ケ岳,140.605222,42.06172,1943-02-26,2017-03-04,2,1110112
1110113,1110113,姫川,,,11101,1,049-2306,茅部郡森町字姫川,140.591632,42.081312,1951-05-19,2017-03-04,2,1110113
1110114,1110114,池田園,,,11101,1,041-1352,亀田郡七飯町字軍川,140.700333,41.990692,1945-06-01,2022-03-12,2,1110114
1110115,1110115,流山温泉,,,11101,1,041-1351,亀田郡七飯町字東大沼２３６,140.716358,42.003483,2002-04-27,2022-03-12,2,1110115
1110116,1110116,銚子口,,,11101,1,041-1351,亀田郡七飯町字東大沼,140.720656,42.015471,1945-06-01,2022-03-12,2,1110116
1110117,1110117,鹿部,,,11101,1,041-1404,茅部郡鹿部町字本別,140.771393,42.06439,0000-00-00,0000-00-00,0,1110117
1110118,1110118,渡島沼尻,,,11101,1,049-2223,茅部郡森町砂原東４丁目,140.747596,42.10706,0000-00-00,0000-00-00,0,1110118
1110119,1110119,渡島砂原,,,11101,1,049-2222,茅部郡森町砂原４丁目,140.689451,42.12164,0000-00-00,0000-00-00,0,1110119
1110120,1110120,掛澗,,,11101,1,049-2221,茅部郡森町砂原西３丁目,140.64598,42.119205,0000-00-00,0000-00-00,0,1110120
1110121,1110121,尾白内,,,11101,1,049-2301,茅部郡森町字尾白内町,140.613449,42.111232,0000-00-00,0000-00-00,0,1110121
1110122,1110122,東森,,,11101,1,049-2302,茅部郡森町字港町,140.59353,42.106823,0000-00-00,0000-00-00,0,1110122
1110123,1110123,森,,,11101,1,049-2325,茅部郡森町字本町,140.573846,42.108917,0000-00-00,0000-00-00,0,1110123
1110124,1110124,桂川,,,11101,1,049-2321,茅部郡森町字鷲ノ木町,140.5427876,42.1156004,1944-09-30,2017-03-04,2,1110124
1110125,1110125,石谷,,,11101,1,049-2464,茅部郡森町字本茅部町,140.506525,42.135519,1930-03-20,2022-03-12,2,1110125
1110126,1110126,本石倉,,,11101,1,049-2463,茅部郡森町字石倉町,140.471957,42.159668,1944-09-10,2022-03-12,2,1110126
1110127,1110127,石倉,,,11101,1,049-2463,茅部郡森町字石倉町,140.458436,42.17285,0000-00-00,0000-00-00,0,1110127
1110128,1110128,落部,,,11101,1,049-2562,二海郡八雲町落部,140.420755,42.187617,0000-00-00,0000-00-00,0,1110128
1110129,1110129,野田生,,,11101,1,049-2672,二海郡八雲町野田生,140.37586,42.217104,0000-00-00,0000-00-00,0,1110129
1110130,1110130,山越,,,11101,1,049-2671,二海郡八雲町山越,140.326593,42.231172,0000-00-00,0000-00-00,0,1110130
1110131,1110131,八雲,,,11101,1,049-3107,二海郡八雲町本町,140.273342,42.253391,0000-00-00,0000-00-00,0,1110131
1110132,1110132,鷲ノ巣,,,11101,1,049-3122,二海郡八雲町花浦,140.269919,42.278389,1987-04-01,2016-03-26,2,1110132
1110133,1110133,山崎,,,11101,1,049-3342,二海郡八雲町山崎,140.2746,42.314635,0000-00-00,0000-00-00,0,1110133
1110134,1110134,黒岩,,,11101,1,049-3341,二海郡八雲町黒岩,140.288173,42.368296,0000-00-00,0000-00-00,0,1110134
1110135,1110135,北豊津,,,11101,1,049-3464,山越郡長万部町字豊津,140.297868,42.400969,1944-07-01,2017-03-04,2,1110135
1110136,1110136,国縫,,,11101,1,049-3462,山越郡長万部町字国縫,140.320885,42.439319,0000-00-00,0000-00-00,0,1110136
1110137,1110137,中ノ沢,,,11101,1,049-3512,山越郡長万部町字中の沢,140.346077,42.477928,0000-00-00,0000-00-00,0,1110137
1110138,1110138,長万部,,,11101,1,049-3521,山越郡長万部町字長万部,140.37507,42.512477,1903-11-03,0000-00-00,0,1110138
1110201,1110138,長万部,,,11102,1,049-3521,山越郡長万部町字長万部,140.37507,42.512477,0000-00-00,0000-00-00,0,1110201
1110202,1110202,二股,,,11102,1,049-3501,山越郡長万部町字双葉,140.320821,42.575869,0000-00-00,0000-00-00,0,1110202
1110203,1110203,蕨岱,,,11102,1,049-3503,山越郡長万部町字蕨岱,140.313353,42.626353,1904-10-15,2017-03-04,2,1110203
1110204,1110204,黒松内,,,11102,1,048-0101,寿都郡黒松内町字黒松内,140.305704,42.669608,0000-00-00,0000-00-00,0,1110204
1110205,1110205,熱郛,,,11102,1,048-0134,寿都郡黒松内町字白井川,140.375084,42.675653,0000-00-00,0000-00-00,0,1110205
1110206,1110206,目名,,,11102,1,048-1261,磯谷郡蘭越町目名町,140.465742,42.761432,0000-00-00,0000-00-00,0,1110206
1110207,1110207,蘭越,,,11102,1,048-1301,磯谷郡蘭越町蘭越町,140.52894,42.804542,0000-00-00,0000-00-00,0,1110207
1110208,1110208,昆布,,,11102,1,048-1302,磯谷郡蘭越町昆布町,140.596107,42.797984,0000-00-00,0000-00-00,0,1110208
1110209,1110209,ニセコ,,,11102,1,048-1512,虻田郡ニセコ町字中央通,140.684588,42.808746,0000-00-00,0000-00-00,0,1110209
1110210,1110210,比羅夫,,,11102,1,044-0077,虻田郡倶知安町比羅夫,140.722615,42.84856,0000-00-00,0000-00-00,0,1110210
1110211,1110211,倶知安,,,11102,1,044-0051,虻田郡倶知安町北三条西４丁目,140.745471,42.90164,0000-00-00,0000-00-00,0,1110211
1110212,1110212,小沢,,,11102,1,048-2142,岩内郡共和町小沢,140.677657,42.97185,0000-00-00,0000-00-00,0,1110212
1110213,1110213,銀山,,,11102,1,048-2335,余市郡仁木町銀山２丁目,140.715321,43.040888,0000-00-00,0000-00-00,0,1110213
1110214,1110214,然別,,,11102,1,048-2403,余市郡仁木町然別,140.737211,43.12551,0000-00-00,0000-00-00,0,1110214
1110215,1110215,仁木,,,11102,1,048-2405,余市郡仁木町字北町１丁目,140.770546,43.154091,0000-00-00,0000-00-00,0,1110215
1110216,1110216,余市,,,11102,1,046-0003,余市郡余市町黒川町５丁目,140.794686,43.186558,0000-00-00,0000-00-00,0,1110216
1110217,1110217,蘭島,,,11102,1,048-2562,小樽市蘭島１丁目,140.854643,43.19651,0000-00-00,0000-00-00,0,1110217
1110218,1110218,塩谷,,,11102,1,048-2672,小樽市塩谷２丁目,140.924546,43.202406,0000-00-00,0000-00-00,0,1110218
1110219,1110219,小樽,,,11102,1,047-0032,小樽市稲穂２丁目,140.993653,43.197172,0000-00-00,0000-00-00,0,1110219
1110301,1110219,小樽,,,11103,1,047-0032,小樽市稲穂２丁目,140.993653,43.197172,0000-00-00,0000-00-00,0,1110301
1110302,1110302,南小樽,,,11103,1,047-0015,小樽市住吉町,141.007883,43.186529,0000-00-00,0000-00-00,0,1110302
